,min_freq,acc_tr_no_pt_dic,acc_val_no_pt_dic,acc_tr_pt_no_fn_dic,acc_val_pt_no_fn_dic,acc_tr_pt_fn_dic,acc_val_pt_fn_dic,acc_test_no_pt_dic,acc_test_pt_no_fn_dic,acc_test_pt_fn_dic
0,1,"[54.515, 69.48, 84.285, 92.355, 96.365]","[58.6, 76.04, 79.44, 80.68, 80.52]","[62.395, 73.035, 78.995, 80.64, 82.03]","[71.52, 77.32, 79.76, 79.6, 79.76]","[61.06, 64.465, 80.56, 92.24, 96.54]","[60.12, 66.96, 79.32, 81.2, 80.76]",80.64,79.68,80.08
1,2,"[59.085, 75.335, 86.325, 92.605, 96.59]","[65.56, 75.08, 80.16, 79.36, 80.68]","[61.765, 72.2, 79.315, 81.425, 84.01]","[68.64, 77.04, 77.88, 80.84, 80.52]","[57.055, 70.07, 82.25, 83.06, 92.88]","[58.12, 66.6, 73.64, 78.08, 79.76]",80.8,80.48,80.24
2,5,"[57.955, 64.925, 82.05, 90.7, 95.48]","[64.96, 72.28, 81.12, 82.32, 81.68]","[60.675, 63.78, 77.28, 80.23, 82.235]","[66.32, 76.88, 72.36, 80.64, 82.48]","[58.255, 73.5, 87.98, 94.63, 97.65]","[57.72, 79.56, 83.92, 82.16, 82.72]",79.72,81.08,80.96
3,10,"[59.085, 76.605, 87.34, 92.815, 97.155]","[64.44, 79.48, 80.12, 82.0, 81.16]","[60.575, 75.545, 80.44, 82.475, 84.585]","[67.04, 76.72, 80.28, 81.92, 81.44]","[60.185, 79.665, 90.355, 94.935, 97.825]","[72.08, 83.08, 82.92, 81.68, 81.44]",80.08,80.6,80.84
4,15,"[59.115, 74.965, 85.485, 91.275, 95.325]","[67.52, 77.8, 79.4, 79.48, 78.56]","[56.385, 59.28, 75.545, 79.7, 81.255]","[59.08, 70.44, 77.8, 78.96, 80.04]","[60.8, 75.025, 87.195, 92.555, 95.54]","[67.6, 81.0, 82.52, 81.04, 80.32]",79.48,79.8,81.12
